DateTime,Global_active_power
6011,74135.45019999999
6012,76479.94833
6013,82864.37509999999
6014,89764.88188
6015,92644.29844
6016,94225.80195
6017,94091.8297
6018,94911.00557
6019,94702.45043
6020,94282.04568
6021,94566.10919
6022,94385.88305
6023,94557.91017
6024,94270.50799
6025,93884.70073
6026,93320.24244
6027,92642.12528
6028,93072.97598
6029,92927.56201
6030,92268.148
6031,90929.71616
6032,90852.68879
6033,90001.06291
6034,89305.96982
6035,88624.88813
6036,87743.19519
6037,86761.33622
6038,86199.57313
6039,85015.57679
6040,84044.44628999999
6041,83246.44774999999
6042,81789.94621000001
6043,79527.33142
6044,78273.21549
6045,76465.35818000001
6046,74716.05341
6047,72703.2508
6048,71137.99948
6049,68925.69365999999
6050,67083.16753
6051,65507.80329
6052,64092.80649
6053,62704.77932
6054,61335.08134
6055,59658.29939
6056,58604.20642
6057,57217.32849
6058,56110.96858
6059,55132.88326
6060,54127.84842
6061,53235.51983999999
6062,52453.90551
6063,51534.86518
6064,51086.155
6065,50497.70723
6066,49920.17828
6067,49687.93695
6068,49480.13299
6069,49095.81134
6070,49145.79374000001
6071,48438.12368
6072,48313.25177
6073,48164.23477
6074,48275.349850000006
6075,47997.77578
6076,48109.38436
6077,47991.90553
6078,48084.67813
6079,48245.05552
6080,48592.07036
6081,48817.48607
6082,49165.69021
6083,51713.50395
6084,52043.95419
6085,50616.35332
6086,49606.81235
6087,49123.04895
6088,48453.86519
6089,46376.578420000005
6090,43900.07512
6091,41676.40311
6092,39666.58866
6093,38782.31345
6094,39189.852571
6095,39275.021416
6096,39410.971934
6097,39707.25912
6098,40079.737
6099,40775.87641
6100,41721.40701
6101,42487.06514
6102,43325.43364
6103,44692.35494999999
6104,46121.88058
6105,47170.40889
6106,48411.54663
6107,49544.52303
6108,50718.175160000006
6109,52405.46074
6110,53896.45206
6111,55172.81977
6112,56053.094430000005
6113,57198.30845999999
6114,58751.87369
6115,59601.75591
6116,60500.46814
6117,61466.38767
6118,61872.9473
6119,62466.33721
6120,63655.11289
6121,64596.36042
6122,65661.07591
6123,66358.87434
6124,67298.67087
6125,68727.24744
6126,69210.03203
6127,69871.31502000001
6128,70537.85725
6129,70850.20241
6130,70569.30678
6131,70491.23557
6132,70283.52639
6133,70562.55529999999
6134,71069.07746
6135,71084.98928
6136,70696.16727
6137,70503.50016
6138,70331.99696
6139,69404.11869
6140,69417.22956
6141,69369.79602000001
6142,68674.39734
6143,68405.83114
6144,67993.54060000001
6145,67695.97498
6146,67711.86336
6147,68041.38846
6148,68258.80237
6149,68204.66507
6150,68991.65001
6151,70307.55837
6152,71326.16631
6153,71902.11822
6154,73427.19641
6155,75457.92214000001
